name,SEED,TOTAL_STEPS,HOLD_PENALTY_NO_POS,INVALID_ACTION_PEN,REWARD_CLIP,DD_COEF,GRACE_PERIOD_STEPS,OPEN_PENALTY,MIN_TRADE_BARS,SHORT_TRADE_PEN,total_ret,max_dd,sharpe,calmar,profit_factor,avg_pnl_per_step,n_trades,win_rate,avg_pnl_pct,final_balance,D_MODEL,N_LAYERS,SEQ_LEN,N_ENVS,ROLLOUT_STEPS,PPO_EPOCHS
OP - 0.0001 (Overtrade),42,75000,-0.003,-0.05,0.3,0.0,12,0.0001,72,0.0001,-99.9755,99.9755,-16.8459,-1.0,0.2614,-0.00581803,3240,10.0,-0.1685,0.24,64,1,32,4,128,2
OP - 0.004 (Conservative),42,75000,-0.003,-0.05,0.3,0.0,12,0.004,72,0.004,-35.038,54.388,-0.51,-0.6442,0.3646,-0.0028158,15,26.67,-1.466,649.62,64,1,32,4,128,2
OP - 0.0008 (Active),42,75000,-0.003,-0.05,0.3,0.0,12,0.0008,72,0.0008,-81.1696,81.3118,-2.226,-0.9983,0.782,-0.00383655,636,25.79,-0.1404,188.3,64,1,32,4,128,2
OP - 0.000898 (Main),42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,-35.0459,58.9946,-0.5236,-0.5941,0.7466,-0.00250918,70,34.29,-0.3382,649.54,64,1,32,4,128,2
Clean Baseline,42,75000,0.0,-0.05,0.3,0.0,0,0.0,0,0.0,-99.999,99.999,-32.5584,-1.0,0.1535,-0.00581912,6294,7.5,-0.1686,0.01,64,1,32,4,128,2
Swing Mode,42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,288,0.000898,-35.0459,58.9946,-0.5236,-0.5941,0.7466,-0.00250918,70,34.29,-0.3382,649.54,64,1,32,4,128,2
Risk Control Mode,42,75000,-0.003,-0.05,0.3,0.2,12,0.000898,72,0.000898,0.0,0.001,0.0,0.0,0.0,0.0,0,0.0,0.0,1000.0,64,1,32,4,128,2
OP - 0.000898 (Main),42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,-56.3575,82.9376,-0.3745,-0.6795,0.9083,-0.00250324,134,39.55,-0.2089,436.43,64,1,32,4,128,2
OP - 0.000898 (Main),42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,-47.0509,47.0509,-10.0139,-1.0,0.0612,-0.00401039,168,11.9,-0.2563,529.49,64,1,32,4,128,2
OP - 0.000898 (Main),42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,-72.959,76.1374,-1.0982,-0.9583,0.7327,-0.00514354,161,46.58,-0.4919,270.41,64,1,32,4,128,2
OP - 0.000898 (Main),42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,-99.999,99.9991,-22.3623,-1.0,0.2607,-0.00718691,3111,18.68,-0.5323,0.01,64,1,32,4,128,2
OP - 0.000898 (Main),42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,-99.5885,99.6547,-5.1582,-0.9993,0.5414,-0.0064804,499,25.05,-0.7559,4.11,64,1,32,4,128,2
OP - 0.0008 (Active),42,75000,-0.003,-0.05,0.3,0.0,12,0.0008,72,0.0008,-18.4062,68.9041,0.1881,-0.2671,0.9877,-0.00022932,73,41.1,0.1783,815.94,64,1,32,4,128,2
OP - 0.0008 (Active),42,75000,-0.003,-0.05,0.3,0.0,12,0.0008,72,0.0008,-11.1799,11.1799,-2.8012,-1.0,0.4298,-0.00085916,49,18.37,-0.149,888.2,64,1,32,4,128,2
OP - 0.0008 (Active),42,75000,-0.003,-0.05,0.3,0.0,12,0.0008,72,0.0008,-36.8461,70.4278,-1.8544,-0.5232,0.0,-0.00327714,7,0.0,-5.8655,631.54,64,1,32,4,128,2
OP - 0.0008 (Active),42,75000,-0.003,-0.05,0.3,0.0,12,0.0008,72,0.0008,-99.999,99.9998,-15.2592,-1.0,0.3233,-0.00686525,3374,18.55,-0.5587,0.01,64,1,32,4,128,2
OP - 0.0008 (Active),42,75000,-0.003,-0.05,0.3,0.0,12,0.0008,72,0.0008,-99.999,99.999,-10.8108,-1.0,0.5461,-0.00593758,2429,20.3,-0.3369,0.01,64,1,32,4,128,2
OP - 0.0001 (Overtrade),42,75000,-0.003,-0.05,0.3,0.0,12,0.0001,72,0.0001,-95.9247,96.1352,-4.4128,-0.9978,0.5874,-0.00509837,807,31.35,-0.2464,40.75,64,1,32,4,128,2
OP - 0.0001 (Overtrade),42,75000,-0.003,-0.05,0.3,0.0,12,0.0001,72,0.0001,-80.5393,80.5393,-18.027,-1.0,0.015,-0.00710172,360,6.11,-0.3207,194.61,64,1,32,4,128,2
OP - 0.0001 (Overtrade),42,75000,-0.003,-0.05,0.3,0.0,12,0.0001,72,0.0001,-99.9927,99.9931,-7.495,-1.0,0.464,-0.0067737,1562,29.07,-0.416,0.07,64,1,32,4,128,2
OP - 0.0001 (Overtrade),42,75000,-0.003,-0.05,0.3,0.0,12,0.0001,72,0.0001,-99.999,99.9992,-30.4095,-1.0,0.2193,-0.00691763,4875,15.84,-0.4907,0.01,64,1,32,4,128,2
OP - 0.0001 (Overtrade),42,75000,-0.003,-0.05,0.3,0.0,12,0.0001,72,0.0001,-99.999,99.9991,-35.2008,-1.0,0.1507,-0.0063538,7038,12.33,-0.3116,0.01,64,1,32,4,128,2
OP - 0.004 (Conservative),42,75000,-0.003,-0.05,0.3,0.0,12,0.004,72,0.004,-85.0526,95.6313,-1.009,-0.8894,0.7633,-0.00387316,254,9.06,-0.3795,149.47,64,1,32,4,128,2
OP - 0.004 (Conservative),42,75000,-0.003,-0.05,0.3,0.0,12,0.004,72,0.004,-50.4209,53.2315,-4.1369,-0.9472,0.2844,-0.00415555,159,17.61,-0.2851,495.79,64,1,32,4,128,2
OP - 0.004 (Conservative),42,75000,-0.003,-0.05,0.3,0.0,12,0.004,72,0.004,-41.0799,58.2823,0.0,-0.7048,0.0,-0.00344798,1,0.0,-39.2377,589.2,64,1,32,4,128,2
OP - 0.004 (Conservative),42,75000,-0.003,-0.05,0.3,0.0,12,0.004,72,0.004,-48.7986,78.7052,0.1734,-0.62,0.8969,-0.00202826,75,38.67,0.1988,512.01,64,1,32,4,128,2
OP - 0.004 (Conservative),42,75000,-0.003,-0.05,0.3,0.0,12,0.004,72,0.004,-65.1332,78.9424,-0.6849,-0.8251,0.8264,-0.00280847,79,39.24,-0.5837,348.67,64,1,32,4,128,2
Clean Baseline,42,75000,0.0,-0.05,0.3,0.0,0,0.0,0,0.0,-60.3583,76.7492,-0.5229,-0.7864,0.9081,-0.00211937,230,41.74,-0.1451,396.42,64,1,32,4,128,2
Clean Baseline,42,75000,0.0,-0.05,0.3,0.0,0,0.0,0,0.0,-93.2809,93.2809,-23.613,-1.0,0.0184,-0.00819018,575,7.65,-0.3294,67.19,64,1,32,4,128,2
Clean Baseline,42,75000,0.0,-0.05,0.3,0.0,0,0.0,0,0.0,-99.999,99.9991,-9.4863,-1.0,0.3695,-0.00706149,1942,26.11,-0.4513,0.01,64,1,32,4,128,2
Clean Baseline,42,75000,0.0,-0.05,0.3,0.0,0,0.0,0,0.0,-99.999,99.9996,-29.2088,-1.0,0.1506,-0.00704682,8126,12.29,-0.3802,0.01,64,1,32,4,128,2
Clean Baseline,42,75000,0.0,-0.05,0.3,0.0,0,0.0,0,0.0,-99.999,99.9991,-61.5344,-1.0,0.0867,-0.00629396,12697,9.68,-0.2761,0.01,64,1,32,4,128,2
Swing Mode,42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,288,0.000898,-56.3575,82.9376,-0.3745,-0.6795,0.9083,-0.00250324,134,39.55,-0.2089,436.43,64,1,32,4,128,2
Swing Mode,42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,288,0.000898,-47.0509,47.0509,-10.0139,-1.0,0.0612,-0.00401039,168,11.9,-0.2563,529.49,64,1,32,4,128,2
Swing Mode,42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,288,0.000898,-72.959,76.1374,-1.0982,-0.9583,0.7327,-0.00514354,161,46.58,-0.4919,270.41,64,1,32,4,128,2
Swing Mode,42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,288,0.000898,-99.999,99.9991,-22.3623,-1.0,0.2607,-0.00718691,3111,18.68,-0.5323,0.01,64,1,32,4,128,2
Swing Mode,42,75000,-0.003,-0.05,0.3,0.0,12,0.000898,72,0.000898,288,0.000898,-99.5885,99.6547,-5.1582,-0.9993,0.5414,-0.0064804,499,25.05,-0.7559,4.11,64,1,32,4,128,2
Risk Control Mode,42,75000,-0.003,-0.05,0.3,0.2,12,0.000898,72,0.000898,0.0,0.001,0.0,0.0,0.0,0.0,0,0.0,0.0,1000.0,64,1,32,4,128,2
Risk Control Mode,42,75000,-0.003,-0.05,0.3,0.2,12,0.000898,72,0.000898,0.0,0.001,0.0,0.0,0.0,0.0,0,0.0,0.0,1000.0,64,1,32,4,128,2
Risk Control Mode,42,75000,-0.003,-0.05,0.3,0.2,12,0.000898,72,0.000898,0.0,0.001,0.0,0.0,0.0,0.0,0,0.0,0.0,1000.0,64,1,32,4,128,2
Risk Control Mode,42,75000,-0.003,-0.05,0.3,0.2,12,0.000898,72,0.000898,-23.6237,23.6237,0.0,-1.0,0.0,-0.00144259,1,0.0,-16.2525,763.76,64,1,32,4,128,2
Risk Control Mode,42,75000,-0.003,-0.05,0.3,0.2,12,0.000898,72,0.000898,-42.9474,43.1979,-7.4915,-0.9942,0.02,-0.00298612,12,41.67,-3.223,570.53,64,1,32,4,128,2
